0	6
2	6
6	6
8	0
10	14
13	5
23	1
25	1
31	2
33	6
35	6
44	6
51	6
53	5
62	12
64	14
70	6
77	5
79	9
93	6
95	6
97	6
108	12
110	6
114	12
117	6
119	6
121	6
127	5
130	5
132	7
135	6
138	8
140	3
143	9
145	9
149	7
158	7
160	5
162	6
164	6
167	7
179	14
181	6
186	6
188	6
192	14
199	6
205	12
208	8
210	5
222	11
224	5
226	6
229	14
231	11
234	5
238	6
241	6
246	10
249	7
251	6
253	14
255	6
257	6
259	7
262	9
264	6
266	7
274	5
287	9
289	6
298	6
300	14
302	6
304	6
307	6
309	7
312	14
316	8
325	5
327	14
333	5
336	12
338	6
340	5
346	6
353	6
356	14
358	6
360	6
362	5
366	6
368	12
371	14
380	6
382	7
397	6
400	6
402	6
408	14
410	8
413	6
415	14
417	9
419	7
421	7
438	14
448	6
454	6
456	1
460	12
465	6
468	14
470	9
475	6
477	14
481	6
493	6
497	6
500	6
503	14
509	12
516	6
518	6
520	6
522	6
129	7
528	7
540	6
542	14
548	6
550	0
552	7
558	6
560	14
565	14
569	12
571	6
574	6
581	14
583	6
585	6
587	6
589	12
592	14
596	6
598	14
600	6
603	7
608	5
614	7
624	6
629	5
632	14
637	6
640	14
643	6
646	7
648	6
651	10
659	12
662	4
663	6
665	9
671	6
673	9
680	12
683	6
684	6
694	6
699	6
703	6
705	5
709	14
726	12
163	6
734	6
736	9
752	7
754	6
757	12
759	6
763	6
765	6
767	7
773	7
778	5
782	5
795	7
798	6
802	9
760	6
806	5
808	6
810	5
813	14
815	6
821	9
826	8
828	12
833	3
836	12
849	14
850	8
855	6
858	5
862	6
864	5
868	9
871	6
873	9
880	6
882	6
888	6
891	14
895	10
897	6
910	6
913	6
916	14
924	14
927	3
929	14
933	14
935	6
937	12
914	6
945	6
948	4
957	12
967	5
969	5
973	6
975	6
977	12
979	6
981	7
983	12
994	6
996	6
999	14
1002	12
1006	6
1011	12
894	7
1023	6
1025	6
1030	6
1031	9
1037	9
1046	12
1052	6
1054	12
1065	9
1068	14
1075	5
1085	7
1087	6
1089	9
1091	6
1093	6
1095	12
1097	12
1100	6
1102	6
1108	14
1110	5
1118	14
1121	14
1124	7
1132	7
1144	6
1148	14
1164	12
1166	6
1170	6
1172	8
1174	9
1180	11
1183	4
1190	12
436	7
1230	6
1232	12
1237	7
1241	6
1243	6
1246	6
925	14
1250	9
1272	6
1204	7
805	6
1332	7
1336	9
1342	6
1344	5
1359	6
1361	6
1365	6
1385	6
1387	11
1389	0
1392	6
1394	6
1396	12
1413	12
1301	7
1431	9
1437	11
1439	9
1446	6
1447	6
1450	1
1455	14
1457	7
1459	12
1460	6
1471	6
1493	6
1495	6
1501	11
1503	6
1506	5
1526	9
1528	6
1530	9
1539	7
1542	5
1551	6
1554	6
1558	0
1578	6
1580	9
1591	14
1313	9
1602	5
1604	5
1612	6
1618	6
1622	6
1624	11
1626	14
1629	6
1634	6
1636	8
1638	5
1643	6
1648	6
1650	6
1652	6
1654	6
1656	14
1659	12
1661	6
1663	12
1665	5
1678	1
1680	5
1685	3
1688	6
1690	6
1693	5
1695	8
1697	6
1699	9
1704	7
1708	12
1712	14
1714	6
1715	7
1719	6
1723	2
1729	5
1750	1
1752	6
1756	6
1758	12
1765	6
1777	6
1780	6
1782	9
1786	9
1788	5
1794	12
1798	14
195	9
1818	6
1820	6
1823	7
1835	6
1837	6
1840	12
1847	6
1850	14
1852	6
1855	14
1858	5
128	5
1869	12
1874	11
1878	6
183	6
1885	7
1886	6
1888	6
1867	6
1892	12
1895	14
1904	6
1906	14
1910	8
1913	14
1692	6
1915	6
1916	6
1919	14
1922	6
1924	6
1926	5
1928	6
1930	6
1937	6
1942	12
1946	12
1947	12
1950	6
1953	12
1966	6
521	6
1976	12
770	7
1989	9
1996	6
2000	6
2002	6
2004	9
2006	11
2028	14
2030	9
2034	6
2037	6
2042	9
2047	6
2053	9
2058	5
2061	9
2063	6
2066	6
2070	14
2075	6
2079	9
2083	6
2085	6
2087	6
2094	3
2096	6
2099	6
2102	5
2104	3
2106	6
2109	7
2120	6
1917	6
2123	9
2127	5
2129	9
2132	13
2136	6
2138	14
2164	12
2168	12
2170	8
2172	0
2175	9
2178	5
2208	9
2213	6
2215	6
2219	14
2221	6
2224	6
2227	11
2229	6
399	6
2239	6
2241	5
2244	5
2261	9
2262	6
2264	10
2267	6
2271	6
2273	14
2275	1
2279	12
2281	6
2282	6
2287	12
2290	6
2296	9
2297	6
2299	1
2301	6
2303	6
2305	6
2307	14
2309	6
2311	12
2313	5
